,Test,Mean,Std,All,Units
63,"tree/[50,10]/[insertFirst(1)]",45.888948,10.324488,"38.19,59.02,58.01,37.21,37.01",ms
64,"tree/[10,50]/[insertFirst(1)]",36.816359,0.400087,"37.01,37.02,36.02,37.02,37.02",ms
65,"tree/[5,100]/[insertFirst(1)]",41.819906,8.613483,"38.02,37.02,38.02,59.02,37.02",ms
66,tree/[500]/[insertLast(1)],30.415154,8.802963,"48.02,26.02,26.01,26.02,26.02",ms
67,"tree/[50,10]/[insertLast(1)]",30.416965,0.489785,"30.02,30.02,31.02,31.02,30.02",ms
68,"tree/[10,50]/[insertLast(1)]",33.412027,8.796669,"29.01,29.02,29.02,51.01,29.02",ms
69,"tree/[5,100]/[insertLast(1)]",30.61471,0.493182,"31.02,30.01,31.02,31.02,30.02",ms
70,tree/[500]/[removeFirst(1)],33.214903,0.391322,"33.02,33.02,34.00,33.02,33.02",ms
71,"tree/[50,10]/[removeFirst(1)]",44.632483,10.530161,"36.01,58.02,57.02,36.01,36.10",ms
72,"tree/[10,50]/[removeFirst(1)]",32.015896,0.003506,"32.02,32.02,32.01,32.02,32.02",ms
73,"tree/[5,100]/[removeFirst(1)]",33.444786,8.295287,"29.02,30.16,29.02,29.02,50.01",ms
74,tree/[500]/[removeLast(1)],30.61595,8.707226,"26.02,48.01,26.02,27.02,26.02",ms
75,"tree/[50,10]/[removeLast(1)]",29.110384,0.492541,"29.02,29.02,29.02,30.01,28.49",ms
76,"tree/[10,50]/[removeLast(1)]",25.004244,0.007248,"25.02,25.00,25.01,25.01,25.00",ms
77,"tree/[5,100]/[removeLast(1)]",27.461624,8.779799,"23.18,45.02,23.01,23.02,23.08",ms
78,tree/[500]/[moveFromEndToStart(1)],33.629608,0.509941,"33.01,33.01,34.01,34.12,34.01",ms
79,"tree/[50,10]/[moveFromEndToStart(1)]",40.439081,7.806189,"36.02,36.02,37.12,56.02,37.02",ms
80,"tree/[10,50]/[moveFromEndToStart(1)]",38.014984,7.998777,"54.01,34.02,34.01,34.02,34.02",ms
81,"tree/[5,100]/[moveFromEndToStart(1)]",32.215071,0.395561,"32.02,32.02,32.02,33.01,32.02",ms
82,tree/[500]/[moveFromStartToEnd(1)],37.815046,7.60367,"34.02,34.01,53.02,34.01,34.02",ms
